groupe_phonemique	1 an 04 mois 20 jours	1 an 06 mois 08 jours	1 an 07 mois 03 jours	1 an 09 mois 04 jours	1 an 10 mois 18 jours	2 an 00 mois 00 jours	2 an 00 mois 26 jours	2 an 01 mois 05 jours	2 an 02 mois 16 jours	2 an 03 mois 30 jours	2 an 04 mois 28 jours	2 an 05 mois 30 jours	2 an 06 mois 27 jours	2 an 08 mois 04 jours	2 an 09 mois 23 jours	2 an 10 mois 24 jours	2 an 11 mois 22 jours	3 an 01 mois 07 jours	3 an 03 mois 00 jours	3 an 04 mois 27 jours	3 an 05 mois 22 jours	3 an 06 mois 27 jours	3 an 08 mois 10 jours	3 an 10 mois 00 jours	4 an 00 mois 13 jours	4 an 01 mois 18 jours	4 an 04 mois 10 jours	4 an 05 mois 24 jours	4 an 08 mois 09 jours	5 an 01 mois 21 jours
A_Occlusives	5	15	52	11	52	127	108	114	210	165	109	172	173	110	93	128	190	124	115	170	85	139	60	174	245	159	86	104	98	197
Constrictives_large	0	1	20	5	1	19	17	22	25	27	5	25	21	10	19	20	27	12	3	19	7	24	10	15	36	22	17	12	13	13
Constrictives_précis	0	2	12	8	18	58	20	42	70	56	51	76	76	34	64	50	111	48	72	76	62	71	44	105	122	107	61	65	65	119
Liquides	4	13	8	0	10	55	21	38	75	83	51	81	105	30	65	72	112	61	71	142	107	129	63	175	281	117	61	72	86	154
Occlusives_bilabiales	119	45	94	15	80	151	84	132	185	138	57	188	156	95	64	98	152	120	99	122	80	127	46	172	240	160	106	151	85	123
opposition_krgr	0	0	0	0	0	0	0	0	0	1	0	7	5	2	10	3	7	3	0	5	7	6	0	2	3	6	0	2	3	1
opposition_trdr	0	0	0	0	0	0	0	0	0	0	0	7	4	7	4	11	12	11	7	5	14	17	2	8	7	6	8	11	11	11
semicodifficile	0	9	7	1	58	82	15	58	51	49	26	70	61	51	40	46	72	42	65	88	46	62	21	28	36	36	28	31	20	43
semicofacile	0	1	4	0	1	3	2	5	13	8	10	12	12	7	10	3	10	7	4	2	3	4	8	8	15	2	3	2	10	4
v_nasal	36	5	28	0	28	25	34	59	73	27	29	57	59	25	33	28	30	23	23	54	20	36	15	56	105	40	24	35	28	73
v_relache	54	51	58	19	108	144	123	132	247	160	95	165	221	111	107	148	215	145	169	234	149	191	88	272	425	211	112	158	134	267
v_tendu	43	34	89	22	27	188	59	104	186	218	116	319	188	113	122	142	250	138	111	184	136	179	91	197	279	207	149	137	98	175
